﻿﻿title,song_name_fa,song_name_en,lyrics,post_name_url,post_type,category_fa,category_en,artist_name_fa,artist_name_en,link_mp3_128,link_mp3_320,thumbnail_photo,published_date
"دانلود آهنگ مهدی مقدم به نام همین حوالی","همین حوالی","Hamin Havali","بوی بارون یه حسی داره که تو رو یاد من میاره
زده بارون و خیسه شونم ولی دستاتو کم میاره
منو چترمو خیسی بارون منو شهری که خاطره هامون
نمیذاره نفس تو هوامون میزنم بی هوا به خیابون
بازم امشب جای تو خالی زیر چتری که نمونده حالی
ولی حس میکنم که تو هستی همین نزدیک تو این حوالی
بازم امشب جای تو خالی زیر چتری که نمونده حالی
ولی حس میکنم که تو هستی همین نزدیک تو این حوالی
♫♫♫
بوی بارون یه حسی داره که تو رو یاد من میاره
زده بارون و خیسه شونم ولی دستاتو کم میاره
منو چترمو خیسی بارون منو شهری که خاطره هامون
نمیذاره نفس تو هوامون میزنم بی هوا به خیابون
بازم امشب جای تو خالی زیر چتری که نمونده حالی
ولی حس میکنم که تو هستی همین نزدیک تو این حوالی
بازم امشب جای تو خالی زیر چتری که نمونده حالی
ولی حس میکنم که تو هستی همین نزدیک تو این حوالی","https://nicmusic.net/hamin-havali/","New Music",,,"مهدی مقدم","Mehdi Moghadam","http://dl.nicmusic.net/nicmusic/024/077/Mehdi%20Moghadam%20-%20Hamin%20Havali%20128.mp3","http://dl.nicmusic.net/nicmusic/024/077/Mehdi%20Moghadam%20-%20Hamin%20Havali.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Mehdi-Moghadam-Hamin-Havali-500x500.jpg","4/8/1399"
"دانلود آهنگ امید جهان به نام بندریا","بندریا","Bandariya","میشینوم کنار شت تا که غروب شه آسمون
لب بندر غروباش بزن و بکوبه بی امون
تو هوای شت جون میده که به دریا بزنی
بیا با مو میبینی نمیتونی دل بکنی
بالا بالا بالا همه دستا یالا بکوبیم بندری تا برقصه دنیا
… دلربا ماشالله همه بندریا پاکه مثل دریا
♫♫♫
مرد دریا عاشقه جنسش از نگینه
مهربونی سادگی همه باهاش عجینه
اونی که با صفاس خودشه همینه
جنوبی مهربون زاغو غم نبینه
بالا بالا بالا همه دستا یالا بکوبیم بندری تا برقصه دنیا
… دلربا ماشالله همه بندریا پاکه مثل دریا
♫♫♫
میشینوم کنار شت تا که غروب شه آسمون
لب بندر غروباش بزن و بکوبه بی امون
تو هوای شت جون میده که به دریا بزنی
بیا با مو میبینی نمیتونی دل بکنی
بالا بالا بالا همه دستا یالا بکوبیم بندری تا برقصه دنیا
… دلربا ماشالله همه بندریا پاکه مثل دریا
♫♫♫
مرد دریا عاشقه جنسش از نگینه
مهربونی سادگی همه باهاش عجینه
اونی که با صفاس خودشه همینه
جنوبی مهربون .. غم نبینه
بالا بالا بالا همه دستا یالا بکوبیم بندری تا برقصه دنیا
… دلربا ماشالله همه بندریا پاکه مثل دریا","https://nicmusic.net/bandariya/","New Music",,,"امید جهان","Omid Jahan","http://dl.nicmusic.net/nicmusic/024/077/Omid%20Jahan%20-%20Bandariya%20128.mp3","http://dl.nicmusic.net/nicmusic/024/077/Omid%20Jahan%20-%20Bandariya.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Omid-Jahan-Bandariya-500x500.jpg","4/8/1399"
"دانلود آهنگ پویا بیاتی به نام تو فقط باش","تو فقط باش","To Faghat Bash","زندگی یعنی ما ضربدر عشق عشق اون اتفاق خاصمونه
کف رویامون خوشبختیو سقف خوشبختیمون آسمونه
با تو من تازه میشم لحظه به لحظه  پشت لبخند تو آرامش محضه
جانم میگیره منو ذوق نگاهت صبحم شیرین شده از شوق نگاهت
تو فقط باش فقط باش همیشه کنارم من کنار تو آرامش خاصی دارم
با تو روزای سختو طاقت میارم تو فقط باش فقط باش تو روزگارم
تو فقط باش فقط باش همیشه کنارم من کنار تو آرامش خاصی دارم
با تو روزای سختو طاقت میارم تو فقط باش فقط باش تو روزگارم
♫♫♫
زندگی عطر رسیدن داره صبح از چشم تو دیدن داره
واسم از عشق بگو قصه ی عشق از زبون تو شنیدن داره
با تو من تازه میشم لحظه به لحظه  پشت لبخند تو آرامش محضه
جانم میگیره منو ذوق نگاهت صبحم شیرین شده از شوق نگاهت
تو فقط باش فقط باش همیشه کنارم من کنار تو آرامش خاصی دارم
با تو روزای سختو طاقت میارم تو فقط باش فقط باش تو روزگارم
تو فقط باش فقط باش همیشه کنارم من کنار تو آرامش خاصی دارم
با تو روزای سختو طاقت میارم تو فقط باش فقط باش تو روزگارم","https://nicmusic.net/to-faghat-bash-2/","New Music",,,"پویا بیاتی","Pouya Bayati","http://dl.nicmusic.net/nicmusic/024/077/Pouya%20Bayati%20-%20To%20Faghat%20Bash%20%5B128%5D.mp3","http://dl.nicmusic.net/nicmusic/024/077/Pouya%20Bayati%20-%20To%20Faghat%20Bash.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Pouya-Bayati-To-Faghat-Bash.jpg","4/8/1399"
"دانلود آهنگ امیر و محمد ak به نام شب رمانتیک","شب رمانتیک","Shabe Romantic","دور میرنم دنیا رو دور تو میگرد
تا دنیا دنیاست واسه تو میجنگم
آروم آروم آروم من و تو این خیابون
دستاتو بگیرم توی یه چتر زیربارون
درد من درد توئه حواسمم پرت توئه
چشمای من قفلی زده محو چشای مست توئه
دل من آرومو شب رمانتیک خانومو
ببری تو کافه یهو بزنه بارونو
درد من درد توئه حواسمم پرت توئه
چشمای من قفلی زده محو چشای توئه
دل من آرومو شب رمانتیک خانومو
ببری تو کافه یهو بزنه بارونو
♫♫♫
دل دل نکن بیا دوست دارم زیاد
دل دل نکن بیا دووم نمیارم زیاد
مست بوی عطذت قلبم توی دستت
یه گوشه ای از دنیا مال منه تو قلبت
درد من درد توئه حواسمم پرت توئه
چشمای من قفلی زده محو چشای سبز توئه
دل من آرومو شب رمانتیک خانومو
ببری تو کافه یهو بزنه بارونو
درد من درد توئه حواسمم پرت توئه
چشمای من قفلی زده محو چشای سبز توئه
دل من آرومو شب رمانتیک خانومو
ببری تو کافه یهو بزنه بارونو","https://nicmusic.net/shabe-romantic/","New Music",,,"None","Amyr  Mohammad ak","http://dl.nicmusic.net/nicmusic/024/077/Amyr%20%26%20Mohammad%20ak%20-%20Shabe%20Romantic%20128.mp3","http://dl.nicmusic.net/nicmusic/024/077/Amyr%20%26%20Mohammad%20ak%20-%20Shabe%20Romantic.mp3","https://nicmusic.net/wp-content/uploads/2020/10/photo_2020-10-24_19-39-41-500x500.jpg","3/8/1399"
"دانلود آهنگ یوسف زمانی به نام زیبای دوست داشتنی","زیبای دوست داشتنی","Zibaye Doost Dashtani","صد بارم بمیرم بازم به چشمات اسیرم هر دفعه سرد باشی با من از رو نمیرم
صد بارم بگی نه همینجوری عاشق میمونم تو آخرشم پای همین حرفام میمونم
زیبای دوست داشتنی میشه یبار دل نشکنی
بیای قدم بزنیم اگه بد بودم برات دیگه سمت من نیا
زیبای دوست داشتنی میشه یبار دل نشکنی
پیاده قدم بزنیم اگه بد بودم برات دیگه سمت من نیا
♫♫♫
دور گردنمه اسم تو آخه نیست دیگه مثل تو همه حرفم همینه
مهرم بشینه به دل سختگیر تو
بیا یبارم که شده باور کن بیا منو عشق اول و آخر کن
بذار آروم بگیره دلی که گیره دلی که پیشت اسیره
زیبای دوست داشتنی میشه یبار دل نشکنی
بیای قدم بزنیم اگه بد بودم برات دیگه سمت من نیا
زیبای دوست داشتنی میشه یبار دل نشکنی
پیاده قدم بزنیم اگه بد بودم برات دیگه سمت من نیا","https://nicmusic.net/zibaye-doost-dashtani/","New Music",,,"یوسف زمانی","Yousef Zamani","http://dl.nicmusic.net/nicmusic/024/076/Yousef%20Zamani%20-%20Zibaye%20Doost%20Dashtani%20%5B128%5D.mp3","http://dl.nicmusic.net/nicmusic/024/076/Yousef%20Zamani%20-%20Zibaye%20Doost%20Dashtani%20%5B320%5D.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Yousef-Zamani-Zibaye-Doost-Dashtani-500x500.jpg","3/8/1399"
"دانلود آهنگ مرتضی پاشایی به نام از آسمونی","از آسمونی","Az Asemooni","میدونم یه روز قلبت رو عاشق میکنم
میشه تو کنارم باشی من دق میکنم
یه روزی باید تنها باشی مال خودم
میدونم که این احساس و باور میکنی
نگو نه که حال قلبو بد تر میکنی
چجوری بدون من داری سر میکنی گلم
شاید بشه شاید شاید مثل من شی
شاید یه روز تو هم عاشق من شی
شاید یه روز آخر دستاتو بگیرم
شاید بفهمی تو دستات اسیرم
شاید تو ندونی واسم مثل جونی
ولی میدونم از آسمونی
پیدا میشی روزی آره تو همونی
شاید ندونی که میمیرم بی تو
♫♫♫
هر جای دنیا باشی پیدات میکنم
میمونی پیشم تا میشی دنیای خودم
میفهمه همه دنیاته من عاشق شدم
اگه لازمه میجنگم من با سرنوشت
خدا اسم ما دو تا رو پیش هم نوشت
میدونم دلت عشق من میشه باورش دلم
شاید بشه شاید شاید مثل من شی
شاید یه روز تو هم عاشق من شی
شاید یه روز آخر دستاتو بگیرم
شاید بفهمی تو دستات اسیرم
شاید تو ندونی واسم مثل جونی
ولی میدونم از آسمونی
پیدا میشی روزی آره تو همونی
شاید ندونی که میمیرم بی تو","https://nicmusic.net/az-asemooni/","New Music",,,"مرتضی پاشایی","Morteza Pashaei","http://dl.nicmusic.net/nicmusic/024/076/Morteza%20Pashaei%20-%20Az%20Asemooni%20%28128%29.mp3","http://dl.nicmusic.net/nicmusic/024/076/Morteza%20Pashaei%20-%20Az%20Asemooni.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Morteza-Pashaei-Az-Asemooni.jpg","2/8/1399"
"دانلود آهنگ رضا یزدانی به نام وطن بی قرارم","وطن بی قرارم","Vatan Bighararam","یکی حاضره با شبت سر کنه یکی حاضره با غمت جون بده
به جز من به جز ما به جز مردمت کی باید واسه خاک تو خون بده
همه سهمم از زندگی خاکمه همین خاک که اسم تو مرزشه
مگه میشه ایران فراموش شه بدون تو تاریخ بی ارزشه
واسه آسمونت غم بی امونت واسه آب و نونت وطن بی قرارم
تو طاقت میاری با زخمای کاری وطن بی قراری که من بی قرارم
واسه آسمونت غم بی امونت برای جنونت وطن بی قرارم
تو طاقت میاری با زخمای کاری وطن بی قراری که من بی قرارم
♫♫♫
کنار اومدم با غم و شایات کنار اومدم با زیاد و کمت
چه زنده چه زنده تو آغوشتم کفن دوختم آخر از پرچمت
تا زندم هواتو نفس میکشم بذار قسمتم گرد و خاکت بشه
من از جونمم حاضرم بگذرم که یک لحظه درد تو ساکت بشه
واسه آسمونت غم بی امونت واسه آب و نونت وطن بی قرارم
تو طاقت میاری با زخمای کاری وطن بی قراری که من بی قرارم
واسه آسمونت غم بی امونت برای جنونت وطن بی قرارم
تو طاقت میاری با زخمای کاری وطن بی قراری که من بی قرارم","https://nicmusic.net/vatan-bighararam/","New Music",,,"رضا یزدانی","Reza Yazdani","http://dl.nicmusic.net/nicmusic/024/076/Reza%20Yazdani%20-%20Vatan%20Bighararam%20%28128%29.mp3","http://dl.nicmusic.net/nicmusic/024/076/Reza%20Yazdani%20-%20Vatan%20Bighararam.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Reza-Yazdani-Vatan-Bighararam.jpg","2/8/1399"
"دانلود آهنگ جدید سعید آذر به نام قانون جنگل","قانون جنگل","Ghanoone Jangal","نگاه خاموش منو فقط تو قصه ها دیدی
باور نداری این منم از تاریکی تو ترسیدی
تو که یه روز این آتیشو با دستای خودت زدی
با شعله های داغ اون زمستونت رو خط زدی
قانون جتگلو تو آوردی توی زندگیت
کشتی تا نمیری و خون شد اسیر تشنگیت
من یه بازیچه مثل عروسکای بچگیت
سهمم دو مشت پوچ تو بردی همشگیت
♫♫♫
نمیدونم چیکار کنم به عشقت اعتباری نیست
باید که رد بشم فقط تو موندنم جوابی نیست
تا تو هنوزم از خودت فاصله داری راهی نیست
شدی یه نقطه ی سیاه یه نقطه هم خیالی نیست
قانون جتگلو تو آوردی توی زندگیت
کشتی تا نمیری و خون شد اسیر تشنگیت
من یه بازیچه مثل عروسکای بچگیت
سهمم دو مشت پوچ تو بردی همشگیت","https://nicmusic.net/ghanoone-jangal/","New Music",,,"سعید آذر","Saeed Azar","http://dl.nicmusic.net/nicmusic/024/076/Saeed%20Azar%20-%20Ghanoone%20Jangal%20128.mp3","http://dl.nicmusic.net/nicmusic/024/076/Saeed%20Azar%20-%20Ghanoone%20Jangal.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Saeed-Azar-Ghanoone-Jangal-500x500.jpg","1/8/1399"
"دانلود آهنگ مرتضی اشرفی به نام ببین کاراتو","ببین کاراتو","Bebin Karato","وقتی هستی دارم یک دنیا آرامش پیش تو چیزی نمیخوام جز یه خواهش
که فقط نفس بکش صداشو دارم با سکوت بینمون تا صبح بیدارم
تو چرا ازم گرفتی حس این لحظه رو چقده خواستم ازت که از پیش من نرو
اما تو رفتی و من تنها ترین شهرم تو که نیستی با همه حتی با خودم قهرم
خیلی دوری و نگاهتو ازم گرفتی ببین کاراتو از من گذشتی حنما دوسم نداری ولی دیوونتم من
خیلی دوری و نگاهتو ازم گرفتی ببین کاراتو از من گذشتی حنما دوسم نداری ولی دیوونتم من
♫♫♫
نمیگی دارم تو دلواپسی میمیرم بگو تو کی میرسی
یه رحمی بکن به این حال من نیایی شکسته پر و بال من
بیا تا به باد نره آرزوهام تو خوب میدونستی چقدر بی تو تنهام
یه فکری بکن به حال دلم تو با رفتنت شدی قاتلم
خیلی دوری و نگاهتو ازم گرفتی ببین کاراتو از من گذشتی حنما دوسم نداری ولی دیوونتم من
خیلی دوری و نگاهتو ازم گرفتی ببین کاراتو از من گذشتی حنما دوسم نداری ولی دیوونتم من","https://nicmusic.net/bebin-karato-2/","New Music",,,"مرتضی اشرفی","Morteza Ashrafi","http://dl.nicmusic.net/nicmusic/024/074/Morteza%20Ashrafi%20-%20Bebin%20Karato%20%5B128%5D.mp3","http://dl.nicmusic.net/nicmusic/024/074/Morteza%20Ashrafi%20-%20Bebin%20Karato.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Morteza-Ashrafi-Bebin-Karato.jpg","30/7/1399"
"دانلود آهنگ حمید اصغری به نام بیمار","بیمار","Bimar","دل دیوونه شب که میشه صد برابر تنگه
دل دیوونه شب تا صبح داره با خودش میجنگه
دلم هزار راه رفت آخه اون دیوونه تنها رفت
چرا خبر نمیدی دلم بدون تو صد جا رفت
مگه مثل تو داریم آخه بی تو بیماریم آخه
همه پی درمونن و باز ما شما رو دوست داریم آخه
شما رو دوست داریم آخه
مگه مثل تو داریم آخه بی تو بیماریم آخه
همه پی درمونن و باز ما شما رو دوست داریم آخه
شما رو دوست داریم آخه
♫♫♫
بگو عجب مرزیه واگیر داره چشمات وای به چشمات وای به چشمات
اگه عاشقی رک و راست بگو چیه ته حرفات وای به حرفات وای به حرفات
مگه مثل تو داریم آخه بی تو بیماریم آخه
همه پی درمونن و باز ما شما رو دوست داریم آخه
شما رو دوست داریم آخه
مگه مثل تو داریم آخه بی تو بیماریم آخه
همه پی درمونن و باز ما شما رو دوست داریم آخه
شما رو دوست داریم آخه
♫♫♫
مگه مثل تو داریم آخه بی تو بیماریم آخه
همه پی درمونن و باز ما شما رو دوست داریم آخه
شما رو دوست داریم آخه
مگه مثل تو داریم آخه بی تو بیماریم آخه
همه پی درمونن و باز ما شما رو دوست داریم آخه
شما رو دوست داریم آخه
مگه مثل تو داریم آخه بی تو بیماریم آخه
همه پی درمونن و باز ما شما رو دوست داریم آخه
شما رو دوست داریم آخه
مگه مثل تو داریم آخه بی تو بیماریم آخه
همه پی درمونن و باز ما شما رو دوست داریم آخه
شما رو دوست داریم آخه","https://nicmusic.net/bimar-4/","New Music",,,"حمید اصغری","Hamid Asghari","http://dl.nicmusic.net/nicmusic/024/074/Hamid%20Asghari%20-%20Bimar%20%28128%29.mp3","http://dl.nicmusic.net/nicmusic/024/074/Hamid%20Asghari%20-%20Bimar.mp3","https://nicmusic.net/wp-content/uploads/2020/10/Hamid-Asghari-Bimar-500x500.jpg","30/7/1399"
